
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)"
="",="est1",="est2",="est3",="est4",="est5",="est6",="est7",="est8",="est9",="est10",="est11",="est12",="est13",="est14",="est15",="est16",="est17",="est18"

="pre_tuesday_dummy",="-0.00105",="0",="-0.000190",="-0.000272",="-0.000441",="-0.000203",="-0.000219",="-0.000524",="-0.000540**",="-0.000391",="0.0000858",="-0.000324*",="3.13e-16",="-0.000238",="-1.32e-16",="-0.000216",="6.10e-16",="0.000172"
="",="(0.00107)",="(.)",="(0.000696)",="(0.000628)",="(0.000545)",="(0.000504)",="(0.000327)",="(0.000454)",="(0.000241)",="(0.000303)",="(0.0000858)",="(0.000187)",="(.)",="(0.000206)",="(2.87e-11)",="(0.000153)",="(6.81e-11)",="(0.000121)"

="election_year_dummy",="0.0133***",="0",="0.00886***",="0.00629***",="0.00618***",="0.00405***",="0.000443",="0.00225**",="0.00301***",="0.000443",="0.000273",="0.000221",="4.48e-16",="0.000221",="-4.25e-16",="0.000602",="0.000818*",="0.000273"
="",="(0.00244)",="(.)",="(0.00184)",="(0.00159)",="(0.00153)",="(0.00128)",="(0.000606)",="(0.00105)",="(0.00101)",="(0.000606)",="(0.000273)",="(0.000429)",="(.)",="(0.000429)",="(2.89e-11)",="(0.000496)",="(0.000472)",="(0.000273)"

="interaction",="0.0161***",="0",="0.00596**",="0.00851***",="0.00438*",="0.00309",="0.00667***",="0.000478",="0.00157",="0.00253**",="-0.0000893",="0.00139*",="0.000808*",="0.000770",="0.000269",="0.000475",="0.000797",="0.0000940"
="",="(0.00393)",="(.)",="(0.00285)",="(0.00266)",="(0.00236)",="(0.00199)",="(0.00155)",="(0.00145)",="(0.00150)",="(0.00112)",="(0.000393)",="(0.000786)",="(0.000466)",="(0.000693)",="(0.000269)",="(0.000732)",="(0.000811)",="(0.000484)"

="Constant",="0.00637***",="0",="0.00259***",="0.00216***",="0.00173***",="0.00140***",="0.000648**",="0.00130***",="0.000540**",="0.000648**",="2.23e-17",="0.000324*",="-1.31e-16",="0.000324*",="1.20e-16",="0.000216",="-4.07e-16",="-2.26e-17"
="",="(0.000827)",="(.)",="(0.000529)",="(0.000483)",="(0.000432)",="(0.000389)",="(0.000265)",="(0.000374)",="(0.000241)",="(0.000265)",="(4.24e-11)",="(0.000187)",="(.)",="(0.000187)",="(2.87e-11)",="(0.000153)",="(6.78e-11)",="(1.02e-10)"

="Mean of Dep. Var.",="0.0114",="0.0000",="0.0056",="0.0048",="0.0037",="0.0028",="0.0015",="0.0017",="0.0012",="0.0009",="0.0001",="0.0004",="0.0001",="0.0004",="0.0000",="0.0003",="0.0003",="0.0002"
="Std. Dev. of Dep. Var.",="0.1061",="0.0000",="0.0745",="0.0689",="0.0605",="0.0524",="0.0390",="0.0407",="0.0352",="0.0297",="0.0103",="0.0197",="0.0103",="0.0188",="0.0059",="0.0178",="0.0178",="0.0133"
="Adj. R-squared",="0.0091",=".",="0.0052",="0.0054",="0.0039",="0.0023",="0.0035",="0.0007",="0.0023",="0.0009",="-0.0000",="0.0006",="0.0006",="0.0002",="0.0001",="0.0004",="0.0009",="0.0001"
="Observations",="28293",="28293",="28293",="28293",="28293",="28293",="28293",="28293",="28293",="28293",="28293",="28293",="28293",="28293",="28293",="28293",="28293",="28293"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
