
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)"
="",="est1",="est2",="est3",="est4",="est5",="est6",="est7",="est8",="est9",="est10",="est11",="est12",="est13",="est14",="est15",="est16",="est17",="est18"

="in_window_dummy",="0.00179",="0",="0.00214**",="-0.00223",="0.000626",="0.000547",="-0.000801**",="0.0000589",="0.000127",="0.000781*",="0.0000171",="-0.0000194",="0.000221",="0.0000957",="-0.000144",="-0.0000551",="0.0000530",="0.0000275"
="",="(0.00215)",="(.)",="(0.00104)",="(0.00158)",="(0.000724)",="(0.000457)",="(0.000355)",="(0.000453)",="(0.000308)",="(0.000439)",="(0.000282)",="(0.000273)",="(0.000288)",="(0.000313)",="(0.000226)",="(0.000108)",="(0.000173)",="(0.000203)"

="election_year_dummy",="0.00270",="0",="0.00128",="-0.000323",="0.000834",="0.000526",="0.000365",="-0.000214",="0.000520*",="0.000756**",="0.000181",="0.000392",="-0.000258",="-0.000288",="0.000150",="0.0000577",="0.0000439",="-0.000173"
="",="(0.00180)",="(.)",="(0.000850)",="(0.00134)",="(0.000608)",="(0.000379)",="(0.000355)",="(0.000368)",="(0.000279)",="(0.000363)",="(0.000246)",="(0.000254)",="(0.000207)",="(0.000238)",="(0.000212)",="(0.000108)",="(0.000143)",="(0.000150)"

="interaction",="0.0222***",="0",="0.0134***",="0.00446",="0.00330**",="0.00712***",="0.00327***",="0.00354***",="0.00268***",="0.000494",="0.00236***",="0.00157**",="0.00135**",="0.000192",="0.000885",="0.000699*",="-0.000164",="0.000404"
="",="(0.00455)",="(.)",="(0.00247)",="(0.00318)",="(0.00161)",="(0.00136)",="(0.000995)",="(0.00111)",="(0.000903)",="(0.000968)",="(0.000810)",="(0.000752)",="(0.000679)",="(0.000599)",="(0.000585)",="(0.000386)",="(0.000317)",="(0.000430)"

="Constant",="0.0865***",="0",="0.0173***",="0.0470***",="0.00865***",="0.00318***",="0.00286***",="0.00353***",="0.00155***",="0.00271***",="0.00137***",="0.00131***",="0.00126***",="0.00163***",="0.00101***",="0.000246***",="0.000473***",="0.000690***"
="",="(0.000883)",="(.)",="(0.000410)",="(0.000664)",="(0.000291)",="(0.000177)",="(0.000168)",="(0.000186)",="(0.000123)",="(0.000163)",="(0.000116)",="(0.000114)",="(0.000111)",="(0.000126)",="(0.0000995)",="(0.0000493)",="(0.0000683)",="(0.0000824)"

="Mean of Dep. Var.",="0.0885",="0.0000",="0.0186",="0.0467",="0.0091",="0.0037",="0.0030",="0.0036",="0.0018",="0.0031",="0.0015",="0.0015",="0.0013",="0.0016",="0.0011",="0.0003",="0.0005",="0.0007"
="Std. Dev. of Dep. Var.",="0.2841",="0.0000",="0.1352",="0.2111",="0.0950",="0.0610",="0.0543",="0.0603",="0.0426",="0.0552",="0.0390",="0.0384",="0.0360",="0.0397",="0.0325",="0.0168",="0.0220",="0.0259"
="Adj. R-squared",="0.0004",=".",="0.0006",="-0.0000",="0.0001",="0.0007",="0.0001",="0.0001",="0.0002",="0.0001",="0.0002",="0.0001",="0.0001",="-0.0000",="0.0000",="0.0001",="-0.0000",="-0.0000"
="Observations",="162664",="162664",="162664",="162664",="162664",="162664",="162664",="162664",="162664",="162664",="162664",="162664",="162664",="162664",="162664",="162664",="162664",="162664"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
