
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)"
="",="est1",="est2",="est3",="est4",="est5",="est6",="est7",="est8",="est9",="est10",="est11",="est12",="est13",="est14",="est15",="est16",="est17",="est18"

="pre_tuesday_dummy",="0.000379",="0",="0.00365*",="-0.00292",="0.00106",="-0.000415",="-0.0000785",="-0.00151*",="-0.000292",="-0.000348",="0.000658",="-0.000914*",="0.000140",="-0.000895",="0.000382",="-0.000130",="0.000362",="-0.000155"
="",="(0.00395)",="(.)",="(0.00192)",="(0.00289)",="(0.00132)",="(0.000870)",="(0.000625)",="(0.000852)",="(0.000575)",="(0.000837)",="(0.000495)",="(0.000546)",="(0.000533)",="(0.000602)",="(0.000398)",="(0.000175)",="(0.000306)",="(0.000365)"

="election_year_dummy",="0.0143**",="0",="0.00983***",="0.000567",="0.00309",="0.00244",="0.00204*",="0.00293*",="0.00225**",="0.00195",="0.00121",="0.000510",="-0.0000407",="0.000186",="0.000715",="0.000329",="-0.0000513",="-0.000211"
="",="(0.00581)",="(.)",="(0.00303)",="(0.00412)",="(0.00202)",="(0.00149)",="(0.00115)",="(0.00157)",="(0.00114)",="(0.00140)",="(0.000836)",="(0.000937)",="(0.000723)",="(0.000955)",="(0.000664)",="(0.000415)",="(0.000331)",="(0.000480)"

="interaction",="0.0214**",="0",="0.00918**",="0.00662",="0.00256",="0.0100***",="0.00326*",="0.000608",="0.00185",="-0.00161",="0.00281*",="0.00250*",="0.00200",="-0.000752",="0.000677",="0.000931",="-0.0000968",="0.000956"
="",="(0.00836)",="(.)",="(0.00463)",="(0.00578)",="(0.00300)",="(0.00261)",="(0.00186)",="(0.00211)",="(0.00172)",="(0.00181)",="(0.00153)",="(0.00143)",="(0.00126)",="(0.00112)",="(0.00109)",="(0.000736)",="(0.000560)",="(0.000802)"

="Constant",="0.0879***",="0",="0.0177***",="0.0463***",="0.00864***",="0.00410***",="0.00205***",="0.00443***",="0.00184***",="0.00378***",="0.000972***",="0.00194***",="0.00140***",="0.00227***",="0.000648**",="0.000216",="0.000324*",="0.000756***"
="",="(0.00294)",="(.)",="(0.00137)",="(0.00218)",="(0.000962)",="(0.000665)",="(0.000470)",="(0.000690)",="(0.000445)",="(0.000638)",="(0.000324)",="(0.000458)",="(0.000389)",="(0.000494)",="(0.000265)",="(0.000153)",="(0.000187)",="(0.000286)"

="Mean of Dep. Var.",="0.0947",="0.0000",="0.0235",="0.0458",="0.0104",="0.0058",="0.0030",="0.0045",="0.0025",="0.0039",="0.0020",="0.0019",="0.0017",="0.0017",="0.0011",="0.0004",="0.0005",="0.0007"
="Std. Dev. of Dep. Var.",="0.2928",="0.0000",="0.1514",="0.2090",="0.1012",="0.0761",="0.0544",="0.0666",="0.0500",="0.0622",="0.0448",="0.0436",="0.0416",="0.0416",="0.0336",="0.0188",="0.0222",="0.0272"
="Adj. R-squared",="0.0017",=".",="0.0022",="0.0000",="0.0003",="0.0028",="0.0010",="0.0005",="0.0008",="0.0000",="0.0010",="0.0004",="0.0002",="0.0001",="0.0002",="0.0004",="-0.0000",="-0.0000"
="Observations",="28293",="28293",="28293",="28293",="28293",="28293",="28293",="28293",="28293",="28293",="28293",="28293",="28293",="28293",="28293",="28293",="28293",="28293"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
