Ranks,Name,Party,Total Mentions,Pos Mentions,Neg Mentions,Pos Mentions %,Neg Mentions %,Pos - Neg %
1,Kerry,Democrat,6,4,2,66.67,33.33,33.34
2,Trump,Republican,148,76,72,51.35,48.65,2.7
3,Obama,Democrat,124,60,64,48.39,51.61,-3.22
4,Hillary Clinton,Democrat,19,9,10,47.37,52.63,-5.26
5,Bill Clinton,Democrat,30,13,17,43.33,56.67,-13.34
6,McCain,Republican,37,16,21,43.24,56.76,-13.52
7,Bush,Republican,56,24,32,42.86,57.14,-14.28
8,Clinton,Democrat,78,32,46,41.03,58.97,-17.94
9,Romney,Republican,14,4,10,28.57,71.43,-42.86
10,Biden,Democrat,31,8,23,25.81,74.19,-48.38
