Ranks,Name,Party,Total Mentions,Pos Mentions,Neg Mentions,Pos Mentions %,Neg Mentions %,Pos - Neg %
1,Kerry,Democrat,6,4,2,66.67,33.33,33.34
2,Trump,Republican,101,59,42,58.42,41.58,16.84
3,Obama,Democrat,68,36,32,52.94,47.06,5.88
4,Bush,Republican,38,20,18,52.63,47.37,5.26
5,Bill Clinton,Democrat,22,11,11,50.0,50.0,0.0
6,Clinton,Democrat,47,21,26,44.68,55.32,-10.64
7,McCain,Republican,8,3,5,37.5,62.5,-25.0
8,Romney,Republican,4,1,3,25.0,75.0,-50.0
9,Hillary Clinton,Democrat,6,1,5,16.67,83.33,-66.66
10,Biden,Democrat,8,1,7,12.5,87.5,-75.0
