Ranks,Name,Party,Total Mentions,Neu Mentions,Pos Mentions,Neg Mentions,Neu Mentions %,Pos Mentions %,Neg Mentions %,Pos - Neg %
1,Kerry,Democrat,6,2,3,1,33.33,50.0,16.67,33.33
2,Bush,Republican,38,21,12,5,55.26,31.58,13.16,18.42
3,Trump,Republican,101,53,28,20,52.48,27.72,19.8,7.92
4,Obama,Democrat,68,31,20,17,45.59,29.41,25.0,4.41
5,Biden,Democrat,8,5,1,2,62.5,12.5,25.0,-12.5
6,McCain,Republican,8,5,1,2,62.5,12.5,25.0,-12.5
7,Hillary Clinton,Democrat,6,3,1,2,50.0,16.67,33.33,-16.66
8,Clinton,Democrat,47,19,9,19,40.43,19.15,40.43,-21.28
9,Romney,Republican,4,2,0,2,50.0,0.0,50.0,-50.0
10,Bill Clinton,Democrat,22,8,1,13,36.36,4.55,59.09,-54.54
