Church Name,City,State,Size,Denomination
Sherwood Park Alliance Church,Sherwood Park,AB,2000,Christian & Missionary Alliance
Beulah Alliance Church,Edmonton,AB,2400,Christian & Missionary Alliance
First Alliance Church,Calgary,AB,3000,Christian & Missionary Alliance
Centre Street Church,Calgary,AB,7000,Evangelical
Crossroads Church,Red Deer County,AB,2000,Unknown (unspecified)
ChangePoint,Anchorage,AK,3300,"Independent, Nondenominational"
Anchorage Baptist Temple,Anchorage,AK,2200,Baptist (unspecified)
Asbury United Methodist Church,Madison,AL,2500,United Methodist Church
Briarwood Presbyterian Church,Birmingham,AL,3800,Presbyterian Church of America
Calvary Assembly,Decatur,AL,2200,Assemblies of God
Shades Mountain Baptist Church,Birmingham,AL,2756,Southern Baptist Convention
Sixth Avenue Baptist Church,Birmingham,AL,2000,Baptist (unspecified)
The Church at Brook Hills,Birmingham,AL,4500,Southern Baptist Convention
The Rock Family Worship Center,Huntsville,AL,2500,"Independent, Nondenominational"
The Worship Center Christian Church,Birmingham,AL,2000,"Independent, Nondenominational"
Union Chapel MB Church,Huntsville,AL,2000,Baptist (unspecified)
Harvest Church of God,Anniston,AL,2000,"Church of God, Cleveland"
Hunter Street Baptist Church,Hoover,AL,3320,Southern Baptist Convention
Kingwood Church,Alabaster,AL,2000,Assemblies of God
Lindsay Lane Baptist Church,Athens,AL,1800,Southern Baptist Convention
Mayfair Church of Christ,Huntsville,AL,1800,Church of Christ
Metro Church of God,Birmingham,AL,2000,"Church of God, Cleveland"
More Than Conquerors Faith Church,Birmingham,AL,3000,Unknown (unspecified)
Mountaintop Community Church,Birmingham,AL,2000,"Independent, Nondenominational"
New Hope Baptist Church,Birmingham,AL,3000,Baptist (unspecified)
Oakwood College Church,Huntsville,AL,2000,Seventh-day Adventist
Ridgecrest Baptist Church,Dothan,AL,2500,Southern Baptist Convention
Christ United Methodist Church,Mobile,AL,2095,United Methodist Church
Church of the Highlands,Birmingham,AL,60000,"Independent, Nondenominational"
Dawson Memorial Baptist Church,Birmingham,AL,2700,Southern Baptist Convention
Daystar Church,Cullman,AL,2000,"Church of God, Cleveland"
Daystar Family Church,Northport,AL,2200,"Independent, Nondenominational"
Epicchurch.Tv,Decatur,AL,2081,"Independent, Nondenominational"
Faith Chapel Christian Center,Birmingham,AL,3000,Unknown (unspecified)
First Baptist Church Opelika,Opelika,AL,2443,Southern Baptist Convention
First Baptist Church,Montgomery,AL,2500,Southern Baptist Convention
First Baptist Church,Prattville,AL,2500,Southern Baptist Convention
First Baptist Church,Tuscaloosa,AL,3000,Southern Baptist Convention
Frazer United Methodist Church,Montgomery,AL,3704,United Methodist Church
Gardendale First Baptist Church,Gardendale,AL,3530,Southern Baptist Convention
Whitesburg Baptist Church,Huntsville,AL,2500,Southern Baptist Convention
Willowbrook Baptist Church,Huntsville,AL,2900,Southern Baptist Convention
Word Alive International Outreach,Oxford,AL,3300,"Independent, Nondenominational"
3Circle Church,Fairhope,AL,4962,"Independent, Nondenominational"
Fellowship Bible Church,Benton,AR,6000,"Independent, Nondenominational"
Family Church,Pine Bluff,AR,2000,"Independent, Nondenominational"
Harvest Time,Fort Smith,AR,2200,"Independent, Nondenominational"
Immanuel Baptist Church,Little Rock,AR,2500,Baptist (unspecified)
Brand New Church,Harrison,AR,3000,Unknown (unspecified)
Saint Mark Baptist Church,Little Rock,AR,3000,Unknown (unspecified)
Fellowship Bible Church,Little Rock,AR,4000,"Independent, Nondenominational"
Fellowship Northwest Arkansas,Rogers,AR,7100,Unknown (unspecified)
First Assembly of God,North Little Rock,AR,3270,Assemblies of God
First Baptist Church,Jonesboro,AR,3000,Southern Baptist Convention
First Baptist Church,Bentonville,AR,2200,Southern Baptist Convention
Geyer Springs First Baptist Church,Little Rock,AR,2500,Southern Baptist Convention
New Life Church,Conway,AR,8205,Unknown (unspecified)
Central Baptist Church,Marked Tree,AR,2300,Southern Baptist Convention
Central Baptist Church,Jonesboro,AR,2604,Southern Baptist Convention
Church at Rock Creek,Little Rock,AR,2000,"Independent, Nondenominational"
Cross Church,Springdale,AR,8808,Southern Baptist Convention
Downtown Church of Christ,Searcy,AR,2000,Church of Christ
Central Christian Church,Mesa,AZ,8786,CHRISTIAN
Chandler Christian Church,Chandler,AZ,2530,CHRISTIAN
Christ Community Church,Tucson,AZ,2200,"Independent, Nondenominational"
Christ’s Church of the Valley,Peoria,AZ,23395,CHRISTIAN
Church for the Nations,Phoenix,AZ,2400,"Independent, Nondenominational"
City of Grace,Mesa,AZ,4500,"Independent, Nondenominational"
Community Church of Joy,Glendale,AZ,2050,Lutheran (unspecified)
Cornerstone Christian Fellowship,Chandler,AZ,6000,"Independent, Nondenominational"
Calvary Chapel of Prescott,Prescott,AZ,2000,Calvary Churches
